FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
0	0	78	601	481	ScreenRec
1	78	239	418	478	ScreenRec
2	318	817	536	450	ScreenRec
3	1135	140	538	346	www.bbc.co.uk
4	1274	498	669	189	www.bbc.co.uk
5	1773	160	487	164	www.bbc.co.uk
6	2092	100	473	182	www.bbc.co.uk
7	2192	219	264	142	www.bbc.co.uk
8	2411	179	643	200	www.bbc.co.uk
9	2590	159	686	205	www.bbc.co.uk
10	2750	559	502	768	www.bbc.co.uk
11	3308	179	406	607	www.bbc.co.uk
12	3487	219	374	285	www.bbc.co.uk
13	3707	439	486	183	www.bbc.co.uk
14	4145	199	265	132	www.bbc.co.uk
15	4345	159	717	288	www.bbc.co.uk
16	4504	279	868	520	www.bbc.co.uk
17	4783	299	669	595	www.bbc.co.uk
18	5082	179	625	582	www.bbc.co.uk
19	5262	199	371	579	www.bbc.co.uk
20	5461	478	481	177	www.bbc.co.uk
21	5940	179	198	278	www.bbc.co.uk
22	6119	259	207	160	www.bbc.co.uk
23	6378	239	786	192	www.bbc.co.uk
24	6618	319	892	219	www.bbc.co.uk
25	6936	259	938	251	www.bbc.co.uk
26	7196	239	843	611	www.bbc.co.uk
27	7435	339	840	512	www.bbc.co.uk
28	7774	241	535	706	www.bbc.co.uk
29	8015	217	488	246	www.bbc.co.uk
30	8233	259	537	189	www.bbc.co.uk
31	8492	399	597	160	www.bbc.co.uk
32	8890	239	374	600	www.bbc.co.uk
33	9130	179	300	598	www.bbc.co.uk
34	9309	439	513	795	www.bbc.co.uk
35	9748	419	845	885	www.bbc.co.uk
36	10166	259	815	849	www.bbc.co.uk
37	10426	478	842	577	www.bbc.co.uk
38	10904	339	893	251	www.bbc.co.uk
39	11243	120	881	176	www.bbc.co.uk
40	11363	359	827	318	www.bbc.co.uk
41	11721	319	935	311	www.bbc.co.uk
42	12040	279	976	323	www.bbc.co.uk
43	12320	179	793	691	www.bbc.co.uk
44	12499	199	824	805	www.bbc.co.uk
45	12698	120	799	778	www.bbc.co.uk
46	12818	299	814	617	www.bbc.co.uk
47	13117	180	839	559	www.bbc.co.uk
48	13297	279	625	547	www.bbc.co.uk
49	13576	339	435	755	www.bbc.co.uk
50	13915	478	182	705	www.bbc.co.uk
51	14393	259	480	680	www.bbc.co.uk
52	14652	259	855	883	www.bbc.co.uk
53	14912	179	914	839	www.bbc.co.uk
54	15091	160	820	830	www.bbc.co.uk
55	15251	219	504	802	www.bbc.co.uk
56	15470	199	225	695	www.bbc.co.uk
57	15669	259	214	512	www.bbc.co.uk
58	15928	140	251	509	www.bbc.co.uk
59	16068	399	535	451	www.bbc.co.uk
60	16466	199	330	449	www.bbc.co.uk
61	16666	419	293	479	www.bbc.co.uk
62	17084	120	217	601	www.bbc.co.uk
63	17204	638	174	583	www.bbc.co.uk
64	17842	339	293	576	www.bbc.co.uk
65	18181	259	252	570	www.bbc.co.uk
66	18440	199	311	490	www.bbc.co.uk
67	18640	319	276	887	www.bbc.co.uk
68	18959	279	228	992	www.bbc.co.uk
69	19238	259	279	547	www.bbc.co.uk
70	19497	857	323	490	www.bbc.co.uk
71	20354	638	290	574	www.bbc.co.uk
72	21511	718	323	491	www.bbc.co.uk
73	22228	399	557	297	www.bbc.co.uk
74	22627	279	829	567	www.bbc.co.uk
75	22906	160	586	445	www.bbc.co.uk
76	23066	179	541	284	www.bbc.co.uk
77	23245	239	300	504	www.bbc.co.uk
78	23484	439	215	590	www.bbc.co.uk
79	23923	299	301	491	www.bbc.co.uk
80	24222	279	339	479	www.bbc.co.uk
81	24501	199	754	306	www.bbc.co.uk
82	24701	299	487	228	www.bbc.co.uk
83	25000	299	873	216	www.bbc.co.uk
84	25299	279	903	588	www.bbc.co.uk
85	25578	319	845	590	www.bbc.co.uk
86	25897	120	663	766	www.bbc.co.uk
87	26017	319	555	790	www.bbc.co.uk
88	26335	160	372	850	www.bbc.co.uk
89	26495	219	301	550	www.bbc.co.uk
90	26714	399	311	499	www.bbc.co.uk
91	27113	279	838	226	www.bbc.co.uk
92	27392	379	558	231	www.bbc.co.uk
93	27771	240	332	451	www.bbc.co.uk
94	28010	199	314	488	www.bbc.co.uk
95	28210	319	263	509	www.bbc.co.uk
96	28529	419	298	504	www.bbc.co.uk
97	29705	917	191	602	www.bbc.co.uk
98	30622	239	77	920	ScreenRec
99	30861	379	621	654	www.godaddy.com
100	31240	140	451	489	www.godaddy.com
101	31380	359	447	426	www.godaddy.com
102	31738	180	271	494	www.godaddy.com
103	31918	379	441	404	www.godaddy.com
104	32296	200	743	481	www.godaddy.com
105	32496	398	458	394	www.godaddy.com
106	32895	199	520	224	www.godaddy.com
107	33094	219	489	172	www.godaddy.com
108	33313	219	418	89	www.godaddy.com
109	33533	140	232	55	www.godaddy.com
110	33672	160	425	390	www.godaddy.com
111	33832	299	261	488	www.godaddy.com
112	34131	259	734	440	www.godaddy.com
113	34390	179	672	245	www.godaddy.com
114	34569	179	525	215	www.godaddy.com
115	34749	259	454	271	www.godaddy.com
116	35008	160	285	112	www.godaddy.com
117	35168	179	320	98	www.godaddy.com
118	35347	179	527	90	www.godaddy.com
119	35526	319	984	83	www.godaddy.com
120	35846	399	1001	39	www.godaddy.com
121	36244	219	1085	31	www.godaddy.com
122	36463	239	1017	40	www.godaddy.com
123	36862	180	948	899	www.godaddy.com
124	37042	339	947	962	www.godaddy.com
125	37381	179	994	130	www.godaddy.com
126	37560	7855	1003	40	www.godaddy.com
127	45415	239	986	108	www.godaddy.com
128	45655	219	920	921	www.godaddy.com
129	45874	458	970	979	www.godaddy.com
130	46332	239	515	897	www.godaddy.com
131	46572	219	333	957	www.godaddy.com
132	46791	339	380	340	www.godaddy.com
133	47130	199	501	253	www.godaddy.com
134	47329	200	552	233	www.godaddy.com
135	47529	259	733	233	www.godaddy.com
136	47788	239	817	569	www.godaddy.com
137	48027	199	746	492	www.godaddy.com
138	48226	159	615	384	www.godaddy.com
139	48386	199	561	223	www.godaddy.com
140	48585	140	502	190	www.godaddy.com
141	48725	199	324	129	www.godaddy.com
142	48924	219	378	223	www.godaddy.com
143	49143	239	602	233	www.godaddy.com
144	49383	459	715	246	www.godaddy.com
145	49841	239	524	229	www.godaddy.com
146	50080	339	388	242	www.godaddy.com
147	50420	339	475	231	www.godaddy.com
148	50758	179	626	226	www.godaddy.com
149	50938	259	723	234	www.godaddy.com
150	51197	259	856	237	www.godaddy.com
151	51456	180	595	193	www.godaddy.com
152	51636	279	506	177	www.godaddy.com
153	51915	379	443	219	www.godaddy.com
154	52293	559	396	240	www.godaddy.com
155	52852	159	285	448	www.godaddy.com
156	53011	279	436	423	www.godaddy.com
157	53290	1416	375	236	www.godaddy.com
158	54706	718	621	237	www.godaddy.com
159	55424	219	467	565	ScreenRec
160	55643	139	738	815	ScreenRec
